fecha_consulta,ciudad,departamento,pais,latitud,longitud,temperatura,temp_min,temp_max,sensacion_termica,humedad,presion,velocidad_viento,direccion_viento,descripcion,nubosidad
2026-04-15 20:12:28.872667,Leticia,Amazonas,Colombia,-4.2153,-69.9406,33.02,33.02,33.02,40.02,70,1005,1.58,70,muy nuboso,83
2026-04-15 20:12:29.211434,Medellín,Antioquia,Colombia,6.2518,-75.5636,22.88,22.88,22.88,23.39,83,1009,0.3,200,lluvia ligera,100
2026-04-15 20:12:29.557562,Arauca,Arauca,Colombia,7.0847,-70.7591,25.3,25.3,25.3,26.13,86,1008,2.22,320,nubes,100
2026-04-15 20:12:29.896843,Barranquilla,Atlántico,Colombia,10.9639,-74.7964,30.58,30.58,30.58,33.75,59,1007,7.84,21,cielo claro,4
2026-04-15 20:12:30.236634,Cartagena,Bolívar,Colombia,10.3997,-75.5144,29.34,29.34,29.34,33.48,70,1006,10.3,10,cielo claro,9
2026-04-15 20:12:30.840692,Tunja,Boyacá,Colombia,5.5353,-73.3678,11.75,11.75,11.75,11.38,92,1012,0.29,145,lluvia moderada,100
2026-04-15 20:12:31.200651,Manizales,Caldas,Colombia,5.0689,-75.5174,20.17,20.17,20.17,20.36,81,1011,1.47,277,nubes,100
2026-04-15 20:12:31.542065,Florencia,Caquetá,Colombia,1.6144,-75.6062,27.76,27.76,27.76,31.37,79,1008,0.72,226,nubes,100
2026-04-15 20:12:31.909755,Yopal,Casanare,Colombia,5.3378,-72.3959,25.48,25.48,25.48,26.2,81,1007,1.27,55,lluvia ligera,100
2026-04-15 20:12:32.257868,Popayán,Cauca,Colombia,2.4382,-76.6132,19.71,19.71,19.71,20.06,89,1010,1.5,263,nubes,98
2026-04-15 20:12:32.746200,Valledupar,Cesar,Colombia,10.4631,-73.2532,36.68,36.68,36.68,38.11,33,1006,3.61,17,algo de nubes,16
2026-04-15 20:12:33.085710,Quibdó,Chocó,Colombia,5.6947,-76.6611,31.84,31.84,31.84,38.84,77,1006,1.12,290,nubes,100
2026-04-15 20:12:33.423039,Montería,Córdoba,Colombia,8.748,-75.8814,30.21,30.21,30.21,33.24,60,1006,4.54,290,algo de nubes,24
2026-04-15 20:12:33.780180,Bogota,Cundinamarca,Colombia,4.6097,-74.0817,14.05,14.05,14.05,13.86,90,1013,1.56,233,lluvia ligera,100
2026-04-15 20:12:34.141665,Inírida,Guainía,Colombia,3.8653,-67.9239,28.34,28.34,28.34,32.97,80,1005,2.44,348,lluvia ligera,100
2026-04-15 20:12:34.530547,San José del Guaviare,Guaviare,Colombia,2.5729,-72.6459,27.58,27.58,27.58,31.07,80,1005,1.14,324,nubes,88
2026-04-15 20:12:34.917392,Neiva,Huila,Colombia,2.9273,-75.2819,24.43,24.43,24.43,25.1,83,1009,0.58,4,nubes,100
2026-04-15 20:12:35.286523,Riohacha,La Guajira,Colombia,11.5444,-72.9072,30.09,30.09,30.09,34.08,65,1007,8.61,26,algo de nubes,20
2026-04-15 20:12:35.737865,Santa Marta,Magdalena,Colombia,11.2408,-74.199,30.97,30.97,30.97,36.08,65,1006,9.11,39,algo de nubes,16
2026-04-15 20:12:36.096405,Villavicencio,Meta,Colombia,4.142,-73.6266,27.44,27.44,27.44,32.02,90,1010,1.15,292,nubes,100
2026-04-15 20:12:36.459036,Pasto,Nariño,Colombia,1.2136,-77.2811,16.02,16.02,16.02,15.82,82,1012,2.16,325,lluvia ligera,100
2026-04-15 20:12:36.818338,Cúcuta,Norte de Santander,Colombia,7.8833,-72.5053,27.9,27.9,27.9,29.98,66,1010,0.75,114,nubes,98
2026-04-15 20:12:37.201491,Armenia,Quindío,Colombia,4.5339,-75.6811,21.82,21.82,21.82,22.2,82,1010,1.3,275,nubes,100
2026-04-15 20:12:37.567053,Pereira,Risaralda,Colombia,4.8133,-75.6961,21.39,21.39,21.39,21.7,81,1010,1.0,239,nubes,100
2026-04-15 20:12:37.910435,San Andrés,San Andrés y Providencia,Colombia,12.5847,-81.7006,30.13,30.13,30.13,34.63,67,1011,5.43,49,lluvia ligera,45
2026-04-15 20:12:38.283596,Bucaramanga,Santander,Colombia,7.1254,-73.1198,25.76,25.76,25.76,26.35,75,1011,0.72,298,nubes,98
2026-04-15 20:12:38.633554,Sincelejo,Sucre,Colombia,9.3047,-75.3978,29.76,29.76,29.76,32.38,60,1006,2.68,328,algo de nubes,13
2026-04-15 20:12:38.984216,Ibagué,Tolima,Colombia,4.4389,-75.2322,21.46,21.46,21.46,21.96,88,1011,1.18,150,nubes,100
2026-04-15 20:12:39.327503,Santiago de Cali,Valle del Cauca,Colombia,3.4372,-76.5225,24.34,24.34,24.34,24.84,77,1008,1.29,322,lluvia ligera,100
2026-04-15 20:12:39.692629,Mitú,Vaupés,Colombia,1.1983,-70.1733,33.02,33.02,33.02,39.21,59,1004,0.32,62,nubes,96
